Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Batch Size 256 (Samples Per Second),Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),Run Identifier,Run Directory,Estimated Fields,Estimate Method
mistral,gsm8k,75,sparse to dense,failed,0.0958107372710724,3718.08052348052,256,57.7,52.61,cs3_mistral_gsm8k_lora_s75_sparse_to_dense_2191960_20260227_221936,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s75_sparse_to_dense_2191960_20260227_221936,Evaluation Accuracy;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Language Model Perplexity,scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mistral,gsm8k,75,sparse to sparse,failed,0.0958107372710724,3718.08052348052,256,64.38,52.3,cs3_mistral_gsm8k_lora_s75_sparse_to_sparse_2191960_20260227_230345,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_gsm8k_lora_s75_sparse_to_sparse_2191960_20260227_230345,Evaluation Accuracy;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Language Model Perplexity,scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mistral,hellaswag,25,sparse to dense,success eval,0.7819010615348816,1.550692081451416,256,50.89,124.29,cs3_mistral_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_144405,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s25_sparse_to_dense_2191960_20260225_144405,,
mistral,hellaswag,25,sparse to sparse,success eval,0.798828125,1.5237243175506592,256,56.92,117.91,cs3_mistral_hellaswag_lora_s25_sparse_to_sparse_2191960_20260227_060200,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s25_sparse_to_sparse_2191960_20260227_060200,,
mistral,hellaswag,50,sparse to dense,success eval,0.78515625,1.574445366859436,256,54.21,129.77,cs3_mistral_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_152701,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s50_sparse_to_dense_2191960_20260225_152701,,
mistral,hellaswag,50,sparse to sparse,success eval,0.798828125,1.5237243175506592,256,60.19,117.2,cs3_mistral_hellaswag_lora_s50_sparse_to_sparse_2191960_20260227_234743,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s50_sparse_to_sparse_2191960_20260227_234743,,
mistral,hellaswag,75,sparse to dense,success eval,0.62109375,2.049846887588501,256,57.46,137.06,cs3_mistral_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_161251,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s75_sparse_to_dense_2191960_20260225_161251,,
mistral,hellaswag,75,sparse to sparse,success eval,0.798828125,1.5237243175506592,256,63.04,117.95,cs3_mistral_hellaswag_lora_s75_sparse_to_sparse_2191960_20260228_002952,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mistral_hellaswag_lora_s75_sparse_to_sparse_2191960_20260228_002952,,
mixtral,boolq,25,sparse to dense,success eval,0.4765625,2.8743200302124023,256,11.27,4.67,cs3_mixtral_boolq_lora_s25_sparse_to_dense_2191960_20260228_192033,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mixtral_boolq_lora_s25_sparse_to_dense_2191960_20260228_192033,,
mixtral,boolq,25,sparse to sparse,failed,0.4693449085875011,2.40257228690649,256,17.87,45.02,cs3_mixtral_boolq_lora_s25_sparse_to_sparse_2191960_20260301_073559,/home/ebereuwadoka/project3-sparse-ft/results/masked_runs_cs/cs3_mixtral_boolq_lora_s25_sparse_to_sparse_2191960_20260301_073559,Evaluation Accuracy;Evaluation Language Model Perplexity;Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio
