run_id,method,model,task,sparsity_fraction,timestamp,point_index,micro_batch,seq_len,world_size,tokens_per_step,mean_step_time_s,tokens_per_s,peak_mem_gb,run_dir
gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s25-20260302-043131-3193514,sparse_to_dense,mistral-7b,gsm8k,25,20260302-043131-3193514,1,4,2048,1,8192,2.9564583962783217,2770.8828949909575,21.16299057006836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s25-20260302-043131-3193514
gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s25-20260302-043131-3193514,sparse_to_dense,mistral-7b,gsm8k,25,20260302-043131-3193514,2,2,2048,1,4096,1.5056042805314065,2720.5023610548633,17.59902572631836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s25-20260302-043131-3193514
gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s50-20260302-083759-568756,sparse_to_dense,mistral-7b,gsm8k,50,20260302-083759-568756,0,8,2048,1,16384,5.796868297364563,2826.353672283477,27.97842025756836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s50-20260302-083759-568756
gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s50-20260302-083759-568756,sparse_to_dense,mistral-7b,gsm8k,50,20260302-083759-568756,1,4,2048,1,8192,2.95224798861891,2774.8346451858524,21.16299057006836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s50-20260302-083759-568756
gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s50-20260302-083759-568756,sparse_to_dense,mistral-7b,gsm8k,50,20260302-083759-568756,2,2,2048,1,4096,1.5048435074277222,2721.87771006264,17.59902572631836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-gsm8k-s50-20260302-083759-568756
gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s25-20260302-014057-2278957,sparse_to_dense,mistral-7b,hellaswag,25,20260302-014057-2278957,0,8,2048,1,16384,5.812546285055578,2818.7302425658604,27.97842025756836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s25-20260302-014057-2278957
gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s25-20260302-014057-2278957,sparse_to_dense,mistral-7b,hellaswag,25,20260302-014057-2278957,1,4,2048,1,8192,2.960150091536343,2767.4272407411213,21.16299057006836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s25-20260302-014057-2278957
gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s25-20260302-014057-2278957,sparse_to_dense,mistral-7b,hellaswag,25,20260302-014057-2278957,2,2,2048,1,4096,1.5015548296272754,2727.8391166153638,17.59902572631836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s25-20260302-014057-2278957
gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s50-20260302-030526-2729815,sparse_to_dense,mistral-7b,hellaswag,50,20260302-030526-2729815,0,8,2048,1,16384,5.805169534403831,2822.3120621889943,27.97842025756836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s50-20260302-030526-2729815
gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s50-20260302-030526-2729815,sparse_to_dense,mistral-7b,hellaswag,50,20260302-030526-2729815,1,4,2048,1,8192,2.955058733560145,2772.1953228762336,21.16299057006836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s50-20260302-030526-2729815
